generation, max, avarege
0,0.7462686567164178,0.1219713930348528
1,0.9701492537313433,0.12191542288559906
2,0.9203980099502487,0.12629197761196703
3,0.7711442786069651,0.12688277363186795
4,0.8208955223880597,0.12680970149256438
5,0.7960199004975124,0.13037935323385857
6,0.8706467661691543,0.13057524875624646
7,0.9203980099502487,0.13037002487564983
8,0.8208955223880597,0.13030317164181834
9,0.8706467661691543,0.13202736318410832
10,0.9203980099502487,0.13212064676619803
11,0.945273631840796,0.13323227611943164
12,0.8955223880597014,0.1350590796020184
13,0.8955223880597014,0.13569807213933197
14,0.9203980099502487,0.1348958333333615
15,0.8706467661691543,0.13686722636818668
16,0.8955223880597014,0.13666511194032652
17,0.8955223880597014,0.13708488805972918
18,0.945273631840796,0.13833644278609722
19,1.1940298507462686,0.13866293532341056
20,0.7711442786069651,0.1383706467661964
21,0.8706467661691543,0.1377052238806244
22,0.9203980099502487,0.13731187810948026
23,0.8208955223880597,0.13930659203982787
24,1.119402985074627,0.13980099502490276
25,0.845771144278607,0.13902052238808682
26,1.1442786069651742,0.13917288557216656
27,0.8208955223880597,0.1398351990050025
28,0.7960199004975124,0.13998289800997749
29,0.8208955223880597,0.13832711442788787
30,0.945273631840796,0.1393423507462958
31,0.8706467661691543,0.13925995024878318
32,0.845771144278607,0.14045242537316135
33,0.845771144278607,0.14055659203982834
34,0.9203980099502487,0.14018656716420638
35,0.8208955223880597,0.1408519900497779
36,0.8955223880597014,0.1408519900497783
37,0.8706467661691543,0.13972947761196794
38,0.7960199004975124,0.14021610696520098
39,0.8208955223880597,0.1414412313433107
